datetime,author,message,superChat
2025-06-01 17:41:47,Remberto,@Ich bin Karl. ailem bana nakit harçlık vermiyor kart veriyor ordan ne aldığımı fln görüyor ondan dolayı alamıyorum babanemden alcaktım oda işte verebilcek durumda değil şuan crack 23 ykledm oda çlmdı,
2025-06-01 17:42:11,Oğuz Kağan Yıldırım,haydaaa,
2025-06-01 17:42:21,Atakan Ozel,neden hediye,
2025-06-01 17:42:29,Mehmet Akif,gta bedava nasıl verdi,
2025-06-01 17:42:33,TheRosegarden,güzellik yaptı ,
2025-06-01 17:42:34,Kaya,vaaaaay kratos racon,
2025-06-01 17:42:34,Commander's Route,uncharted 4 varmı,
2025-06-01 17:42:37,Çağdaş D.,Abi o kadar kolonya Elinin tahriş etmio mu ya,
2025-06-01 17:42:38,İsa Kocaman,normalde kaça satıyodun beleş verdin abi .d,
2025-06-01 17:42:46,msxnoxie,Kral ya :d,
2025-06-01 17:42:48,Swırl,yayın en son 5 de kapancaktı sanki:_mükemmel:,
2025-06-01 17:42:55,SkullCrusherYT,biz gitsek 800 tl+kolonya ,
2025-06-01 17:42:58,Recep Akkaya,kral adamsın vesselam :cowboy_hat_face:,
2025-06-01 17:43:00,Bc18-7,beyler konsol oyunun yeri nerde bilen varmı,
2025-06-01 17:43:03,Impanter,surekli kapaticam. bir dukkan 3 saatmi acik kalir,
2025-06-01 17:43:10,Can Hacıoğlu,bakırköy,
2025-06-01 17:43:33,- Uluscutürk,Cekilecek cile degil bu iş,
2025-06-01 17:43:35,Oğuz Kağan Yıldırım,abi bedava niye verdin,
2025-06-01 17:43:42,Pxtv1,GTA 5 bedava mI :flushed_face:,
2025-06-01 17:43:57,Erman,Șuanda PS5 hangi oyunlar var?:folded_hands:,
2025-06-01 17:44:01,Atakan Ozel,neden bedava verdi çocuk özel de değil,
2025-06-01 17:44:08,Enes 14,Xbox one için pes 18 cd fiyatı nedir ,TRY 22.00
2025-06-01 17:44:15,SporVesta,"dd,",
2025-06-01 17:44:17,NAIL OLCAR,taner abi allah isini gucunu rast getirsin,
2025-06-01 17:44:30,İsa Aksu,:_esnafmodon:,
2025-06-01 17:44:34,- Uluscutürk,bruh ,
2025-06-01 17:44:36,İsa Kocaman,Suri mi ,
2025-06-01 17:44:39,HIRSLI PUBG,Suriyeliler herhalde,
2025-06-01 17:44:42,Đeimos,yarım sağet,
2025-06-01 17:44:48,Atakan Taş,afganmı bunlar acaba ,
2025-06-01 17:44:56,RSM,biz geldi esenyurt,
2025-06-01 17:44:58,Hüseyin,Suri,
2025-06-01 17:44:58,Enes 14,olabilir,
2025-06-01 17:45:00,Hamit Kulat,Ses yok altyazı geçin bari hebele hebele birşeyler diyor,
2025-06-01 17:45:02,The Kinger Shit,bunlar nereliymiş arkadaşlar geç girdimde,
2025-06-01 17:45:08,Mehmet Madenkuyu,Kürtler süryeli değiller,
2025-06-01 17:45:14,Eren ,Türk mü bunlar iranlı mi,
2025-06-01 17:45:16,Oğuz Kağan Yıldırım,suri bunlar reis,
2025-06-01 17:45:21,İsa Kocaman,Suriyeli galiba ,
2025-06-01 17:45:22,msxnoxie,Dostlar abartmayalım onlarda insan ve sadece alışveriş yapıyorlar,
2025-06-01 17:45:23,flas gamer,@Enes 14 xbox oyunu yok,
2025-06-01 17:45:25,HABERPAYI,yok la azarbaycnlıya benziyorlar,
2025-06-01 17:45:26,Remberto,indirimdeki fifayı bana hediye etmek isteyen abi ablalarım varmı,
2025-06-01 17:45:29,Mehmet Akif,suri bum bum,
2025-06-01 17:45:29,Enes 14,iranlı değildir,
2025-06-01 17:45:36,HIRSLI PUBG,Bence türk değiller,
2025-06-01 17:45:41,Mehmet Madenkuyu,Kürtler,
2025-06-01 17:45:44,Enes 14,flas gamer burada değil zaten normal olarak dedim,
2025-06-01 17:45:45,Burak Maktav,size ne nereliyse ya,
2025-06-01 17:45:47,emre,kürt gibi,
2025-06-01 17:45:51,halo infinite,kürtce deilmi?,
2025-06-01 17:46:02,fefe,ya abi herkese iyilik yapma ya,
2025-06-01 17:46:04,Ömür Kemal Avcı,yayın kapanmamış mıydı,
2025-06-01 17:46:06,Fortnite Budur,su yuzsuzlere boyle yardim edersen,
2025-06-01 17:46:07,Batu,ULEN GTA VERDİ ADAM BİDE 1000 Mİ VERİYON,
2025-06-01 17:46:08,Deniz Akat,kürt değil,
2025-06-01 17:46:08,Droxy 63,kürt değil romana benziolar,
2025-06-01 17:46:09,Offset on Set,Yok artık abi bunu da beleşe vereydin ,
2025-06-01 17:46:10,Oğuz Kağan Yıldırım,suriye bunlar reis bunlara bedava oyun değil su yok,
2025-06-01 17:46:11,REDACTED_CD,soyuldun abi ,
2025-06-01 17:46:11,Crystal Dwarf,"gta da gittik, 200 lira da gitti :D",
2025-06-01 17:46:13,Bünyamin Önder,1000 tl dedin ,
2025-06-01 17:46:16,Enes 14,aksan kürt gibi değil,
2025-06-01 17:46:17,Sam,suriyeliler kekledi,
2025-06-01 17:46:19,Đeimos,sağat,
2025-06-01 17:46:22,İsa Kocaman,kürt değil suriyeliler,
2025-06-01 17:46:23,Ossi ,abi iyi akşamlar,
2025-06-01 17:46:23,SkullCrusherYT,abi zarardasın,
2025-06-01 17:46:24,Ege,bu adamlara iyilik yapılmaz,
2025-06-01 17:46:26,A. A.,abi zaten %20 KDV verdin bee,
2025-06-01 17:46:28,OG,vurgun yaptilar,
2025-06-01 17:46:30,Deniz Akat,kürt değil beyler raaht olun,
2025-06-01 17:46:30,msxnoxie,abartmayalım dosltar,
2025-06-01 17:46:31,boray çakar,Gta 5 geri al,
2025-06-01 17:46:31,Yiğit Kandil,doğru 1000Tl demişti reis,
2025-06-01 17:46:32,Muhammed Güçlüel,çingene,
2025-06-01 17:46:33,Jaguar Desenli Sütyen,herkese iyilik yapmamak lazımmış ,
2025-06-01 17:46:34,Yücel Şeker,ucuz gitti bee,
2025-06-01 17:46:41,Osman Talan,Suriyelilere su bile vermem aga,
2025-06-01 17:46:44,Efe Banaz,abi niye kiiiiii,
2025-06-01 17:46:45,Remberto,indirimdeki fifayı hediye etmek isteyen hayırsever abi ablalarım varmı,
2025-06-01 17:46:49,egemenka1,niye hediye ettin ki abi ne alaka,
2025-06-01 17:46:50,FENERBAHÇE_EDİT,adres nere,
2025-06-01 17:46:54,Angelo Petamente Veterineritte,Almancı galiba deminkiler,
2025-06-01 17:47:01,Oğuz Kağan Bülbül,"abi ps3 slim 1,5k iyimi",
2025-06-01 17:47:02,TheRosegarden,adam yapmk istedi yaptı,
2025-06-01 17:47:05,Commander's Route,uncharted 4 türkçe varmı,
2025-06-01 17:47:05,halo infinite,:text-green-game-over:,
2025-06-01 17:47:09,Yücel Şeker,z raporu,
2025-06-01 17:47:09,Nis2004,Abi görüşürüz ,
2025-06-01 17:47:11,Berk Çiftçi,yayın tekrarı olcak demi,
2025-06-01 17:47:16,Enes 14,abi bağışa bakar mısın,
2025-06-01 17:47:18,yakup simsek,z,
2025-06-01 17:47:18,Benjamin Linus,":red_circle: Yayının sonuna geldik! Katılan, sohbet eden, destek veren herkese teşekkürler. Çıkmadan önce bir Like bırakmayı ve abone olmayı unutmayın. Bir sonraki yayında görüşmek üzere, kendinize iyi bakın!",
2025-06-01 17:47:18,Enes Üntez,masa kaldı yine,
2025-06-01 17:47:20,HIRSLI PUBG,Z raporu,
2025-06-01 17:47:20,Bedooo,Z,
2025-06-01 17:47:21,stace,abi kapama geliyoz,
2025-06-01 17:47:22,Zarog Tuncel,Tamer abi PS 4 pro varmı elinde olsaydı da fiyat ne olurdu gelicemde,
2025-06-01 17:47:23,FENERBAHÇE_EDİT,adres neresi chat,
2025-06-01 17:47:24,Oneday,abi gitme 20 tane oyun alcam,
2025-06-01 17:47:26,Him Yum,Görüsürüz :hand-pink-waving:,
2025-06-01 17:47:26,İnvaderlar,Bağışa bakar mısın,
2025-06-01 17:47:26,Sahandss,z raporu,
2025-06-01 17:47:28,baray kanat, Ohoo,
2025-06-01 17:47:28,Erdem Mısırlıoğlu,görüşürüz abi,
2025-06-01 17:47:30,A. A.,olm bunlar belli işinde gücünde adamlar devletin yardımlarıyla beslenen suriler değil,
2025-06-01 17:47:34,özgür can,çocuğun milliyeti mi olur gereksiz konuşmayın,
2025-06-01 17:47:35,EmirhanYılmaz,müademiz yok,
2025-06-01 17:47:35,Ahmet Efe Çelik,akşama yayınnnnnn,
2025-06-01 17:47:37,Remberto,indirimdeki fifayı hediye edebilecek abi ablalar varmı,
2025-06-01 17:47:40,Enes Üntez,abi masa kaldı yine,
2025-06-01 17:47:45,Cxcx,sevgi saygı nezaket gerisi boş taner abim,
2025-06-01 17:47:45,Oğuz Kağan Bülbül,"abi ps3 slim 1,5k iyimidir",
2025-06-01 17:47:48,Devran,,TRY 11.00
2025-06-01 17:47:50,Atakan Ozel,abi neden hediye ettin anlamadım,
2025-06-01 17:47:51,Berk Çiftçi,yayın tekrarı olcak demi,
2025-06-01 17:47:52,stace,abi kapama foto cekinmeye geliyoz 1 duragimiz kaldi,
2025-06-01 17:47:52,Nis2004,Dinlen abi ,
2025-06-01 17:47:52,Commander's Route,uncarhadet 4 türkçe varmı,
2025-06-01 17:47:54,Zarog Tuncel,abi elinde PS4 pro varmı yoksada olsaydı fiyat ne olurdu,
2025-06-01 17:47:55,Oğuz Kağan Yıldırım,reis bunlara bedava oyun verme ya,
2025-06-01 17:47:56,YorumDoz,Burada kal gitme üşüyoruz reiz,
2025-06-01 17:47:59,Enes 14,bağışa bakabilir misin abim,
2025-06-01 17:47:59,Burak,masa kaldı y,
2025-06-01 17:48:00,halo infinite,devam abi,
2025-06-01 17:48:02,Yücel Şeker,begeniyi harika,
2025-06-01 17:48:03,Eren Ertaş,çok kral adamsın,
2025-06-01 17:48:03,Kaan Ünver,gitmeeeee,
2025-06-01 17:48:04,Hepatits of Minds,Bin kişiyle tokalaştın ellerin tahriş oluyor kolonyadan,
2025-06-01 17:48:04,Burak Maktav,yok gösteceksin :D,
2025-06-01 17:48:05,Çağdaş D.,Kolonya Dokunmuo mu abi sana eller tahriş olacak ,
2025-06-01 17:48:06,Curly Bear,göstermezsen olmaz ama,
2025-06-01 17:48:07,İnvaderlar,Bağışlara bakar mısınız ?,
2025-06-01 17:48:07,Ahmet Efe Çelik,son defa göster,
2025-06-01 17:48:07,TheRosegarden,gösterme abi nazar değmesin,
2025-06-01 17:48:09,Remberto,indirimdeki fifayı hediye edebilecek abi ablalar varm,
2025-06-01 17:48:09,Zafer,nereye usta gözleme yicektik:grinning_face_with_smiling_eyes:,
