datetime,author,message,superChat
2025-05-30 14:23:36,Kuzey Yılmaz,Gelen kişi istemiyordur belki sesin gitmesini,
2025-05-30 14:23:38,berkay gürbüz,tamaaam,
2025-05-30 14:23:38,Mustafa Şebap,PS 5 pro 2 kol+ kulaklık kaç arası gider .,
2025-05-30 14:23:41,Goksel Yildirim,ses yok diyenler kulak bi sizde var helal len,
2025-05-30 14:23:43,U R B E S T E R PM,hala ses yok diyen tobe Yarabbi adamlar var ya cidden sorunlu bunlar,
2025-05-30 14:23:46,Burak,diyoruz ki sesi kapattı adam hala ses yok yazıtor,
2025-05-30 14:23:51,İbrahimjk,kim geldi nie ses kapali,
2025-05-30 14:23:52,Eren Sarı,ses,
2025-05-30 14:23:53,Utku Atalay Yıldız,kimse kamera açısını söylemiyo ses yok diyo garip ahahahah,
2025-05-30 14:23:58,Uğur,bende ses var,
2025-05-30 14:23:58,Faruk Kocak,hayırlısı,
2025-05-30 14:23:59,Network Pusulası,Sebebini soruyorum normalde oyun arayanlar ve satanlar sohbette buluşuyor . Neden alacak ve satacak olan arkadaşların mesajı siliniyor ?,
2025-05-30 14:24:00,Furkan Karaca,sesi bilerek kapatmış,
2025-05-30 14:24:02,Sedat Dursun ,birileri şikayet etmiştir piyasada karaktersiz çok. çekemedikleri için böyle uğraşıyor adam,
2025-05-30 14:24:02,Tufan Kaya,bi durumu var yine denetleme falan sikayetmi oldu acaba yine,
2025-05-30 14:24:06,Talha,biraz morali bozuldu gibi sanki,
2025-05-30 14:24:07,marshmellow,maliyeden gelmişler ses o yüzden yok,
2025-05-30 14:24:08,KAYA Ilker,@Burak npc çünkü,
2025-05-30 14:24:11,Kuzey Yılmaz,Polat alemdar kanka elimde ps5 var ilgilenirmisin,
2025-05-30 14:24:11,Can,ps5 pro ya gerek yok 60 fps için ps5 slim CD alın geçin,
2025-05-30 14:24:21,Süleyman,beyler adam bilerek kapattı sesi,
2025-05-30 14:24:22,Burak,@KAYA Ilker onu iyi dedin,
2025-05-30 14:24:22,hal9000,amma da uzun sürdü,
2025-05-30 14:24:36,Benjamin Linus,":red_circle: Ürün paylaşmak isteyenler günde 1 kez ilan verebilir, ancak ilan no, ürün ismi ve fiyat mutlaka yazılmalıdır. İlan no olmadan paylaşımlar kabul edilmez ve silinir. Lütfen kurallara dikkat edelim.",
2025-05-30 14:24:37,said,Etkinliğe gecikmez umarım ,
