datetime,author,message,superChat
2025-06-05 16:03:57,kaan,URFADAN SELAMLAR SEVİLİYORUSN ABİ,
2025-06-05 16:03:58,The.engineer,abone olan ilk 10 kişiye hediyemiz var steamden,
2025-06-05 16:03:58,buum,abi bazı izleyenler cdyi pantolana surunce cizildigini soyluyor,
2025-06-05 16:04:02,Emirhan ,Xreydle suan alamam piyasasini ogrenmeye calisiyorum sagol yinede,
2025-06-05 16:04:04,Onur Çevik,çeşme suyu mu abi,
2025-06-05 16:04:04,Nis2004,@sky hogwarst yok,
2025-06-05 16:04:05,Buğramollax,uncharted 4 satan varmı,
2025-06-05 16:04:06,REALWEST,bayramda açıkcak mısın,
2025-06-05 16:04:07,İsmail Karadağ,hediye yı aç abi (YOĞUN İSTEK),
2025-06-05 16:04:09,Ege Uğurlu,psp alacamda abi tahmini fiyat ne kadar,
2025-06-05 16:04:09,alikaan,abi satışlardan memnun musun,
2025-06-05 16:04:12,Turkeryoutube,üst kat varmı abi ,
2025-06-05 16:04:16,Snojkopo7,çay ve gözleme iyi giderdi.,
2025-06-05 16:04:16,stoptrying2begod,abim kolonya sikarak sevap isliyosum valla ,
2025-06-05 16:04:16,Mert Temizer,abi kullandığın yayın programı nedir,
2025-06-05 16:04:19,Alper,abi ps5 pro aldım 57bine,
2025-06-05 16:04:20,MELIH EGRITAS,PS 5 alacağım farklı farklı model var hangisini öneriyorsunuz ?,
2025-06-05 16:04:26,Forever MArcus,abi pc alıyonmu,
2025-06-05 16:04:28,Okan Türkmen ,arkadaşlar elinde pc oyunu olan var mı?,
2025-06-05 16:04:31,Scrapmaker,@Buğramollax satiyom,
2025-06-05 16:04:37,tuncer,nba2k25 psn plus da belese,
2025-06-05 16:04:41,The.engineer,abone olan ilk 10 kişiye hediyemiz var steamden,
2025-06-05 16:04:47,Kadir,@Alper neden o kadar pahalıya aldin,
2025-06-05 16:04:48,İsmail Karadağ,hediye yı aç abi (YOĞUN İSTEK),
2025-06-05 16:04:48,Ali Oğulcan Et,hangi oyun @Okan Türkmen ,
2025-06-05 16:05:03,♕Baran,ps5 pro 30 k ideal,
2025-06-05 16:05:05,stoptrying2begod,benim asmr tus sesleri d,
2025-06-05 16:05:06,Marcos,abi internet hızın kaç @Konsol Oyun ,
2025-06-05 16:05:09,MELIH EGRITAS,beyler oyuncu pc var elimde ful set PS5 Takaslı ilgilienen olursa ankara içi ,
2025-06-05 16:05:12,Okan Türkmen ,valla fark etmez hangi oyunlar var?,
2025-06-05 16:05:20,İsmail Karadağ,hediye yı aç abi (YOĞUN İSTEK),
2025-06-05 16:05:21,sky,abi elimde xbox gamepadi var bazi tuşlari tam basmiyor yaptirmakla ugrasilir mi yoksa yenisini mi alayim,
2025-06-05 16:05:24,Alperen Engin,@Alper baya pahalıya almışsın 57k ne ps5 pro için,
2025-06-05 16:05:26,Alper,.medimarktan hepsi bilkom gatantili ekstra kol stand beraber,
2025-06-05 16:05:29,Derda ,sa,
2025-06-05 16:05:33,Ramazan Uzunkaya,ABİ YAYINDA OUTLAST OYNAMAYI DÜŞÜNÜYORMUSUN,
2025-06-05 16:05:33,jeoxy,abi bir yayında batman oynar mısın?,
2025-06-05 16:05:35,modrıx.bs14,bende hikayeli oyunlar oynamak ıstıyorumda sadece fifa pes bana guzel gelıo ,
2025-06-05 16:05:35,Buğramollax,ne kadars satiyon,
2025-06-05 16:05:37,Marcos,abi internet hızın kaç @Konsol Oyun ,
2025-06-05 16:05:38,özgür can,abi gider pusulası yerine başka bir sistem mii geldi bugün hiç doldurulmadı,
2025-06-05 16:05:39,mustafa altunsoy,ps5 satan var mı istanbul?,
2025-06-05 16:05:42,emir Can,2k23 kaç tl ye satarsın,
2025-06-05 16:05:43,stace,"Xbox one,kinect ve oyun cdlleri alırmısın abi",
2025-06-05 16:05:43,Okan Türkmen ,"Abi bir günü sağlam cihaz seçmeye ayıralım, hem gelen müşteri beklememis olur hemde senin işin hızlanır",
2025-06-05 16:05:44,Veysel gümüş,abi Z raporunu neden paylaşmiyorsun artık?,
2025-06-05 16:05:48,The.engineer,abone olan ilk 10 kişiye hediyemiz var steamden,
2025-06-05 16:05:49,durmus,x360e arıyorum dostlar jtagli jtagsiz fark etmez saygılar <3,
2025-06-05 16:05:50,Burak Öztürk,kolları temizliyor musun,
2025-06-05 16:05:51,kano,:red_circle::bell: Beğeni butonuna basarak bize destek olabilirsiniz! Keyifli seyirler dileriz!:video_game::joystick:,
2025-06-05 16:05:57,Umut Metin,bağış ekranına ilan paylaşabilir miyiz küçük harfle yine,
2025-06-05 16:06:03,Ramazan Uzunkaya,ABİ YAYINDA OUTLAST OYNAMAYI DÜŞÜNÜYORMUSUN,
2025-06-05 16:06:06,can,abı sana sapkada yakısır sıcaklarda geldı dıkkata al bunu,
2025-06-05 16:06:07,Emirhan ,Abi 2. El series s ne kadar,
2025-06-05 16:06:09,Marcos,abi internet hızın kaç @Konsol Oyun ,
2025-06-05 16:06:10,Murat D,Abi senin oynadığın call of duty hangi versiyonuydu ?,
2025-06-05 16:06:11,mehmet,Selam abim kolay gelsin ,
2025-06-05 16:06:11,Derda ,bana guzel 5 oyun lazim kasam 1000 tl,
2025-06-05 16:06:12,Can Polat,Hayırlı bayramlar dostlar,
2025-06-05 16:06:13,REDACTED_CD,ps5 450 tl benim diyene hayırlı olsun,
2025-06-05 16:06:16,Alper Mocan,Dijital olarak FC25 almayı düşünüyorum. Sec hak isteyen olursa kardeşlikle beraber alabiliriz.,
2025-06-05 16:06:18,jeoxy,abi bir yayında batman oynar mısın?,
2025-06-05 16:06:19,Honda,Ps5 pro ne kadar taner bey ? 2. El de olur,
2025-06-05 16:06:20,Tech End,abi ps3 super slimim var 500 gb 2 kol 30 oyunlu kaça satılmalı ,
2025-06-05 16:06:20,Serdar kaan,Çizik oyun alabilirmiyim abi senden koleksiyonluk,
2025-06-05 16:06:25,buum,abi bazı izleyenler cdyi pantolana surunce cizildigini soyluyor,
2025-06-05 16:06:25,Crazy Jae,Ps5 fiyatı nedir,
2025-06-05 16:06:25,Veysel Aykul,xbox360 satıyorum Ankara içi,
2025-06-05 16:06:27,emir Can,2k23 kaşa satarsın,
2025-06-05 16:06:27,UAEge_1905,abi silent hill 2 remake vardi geçen sende kaça sattin,
2025-06-05 16:06:27,Ramo77,Uncharted 4: A Thief's End 10 tane var elimde,
2025-06-05 16:06:29,Feqan Mustafayev,Azerbaycandan gelicem bir gun abi Insallah,
2025-06-05 16:06:32,Batuhan GÜNDÜZ,Abi Aksaray’dan selamlar seviliyorsun ,
2025-06-05 16:06:33,Kerem Demirci,arkadaşlar bana days gone lazım 500 civarı satan varsa çiziksiz paylaşabilirmi,
2025-06-05 16:06:34,İsmail Karadağ,ABİ HEDİYEYİ AÇARMISIN CHAT ÇOK MERAKLI (YOĞUN İSTEK),
2025-06-05 16:06:35,Rabiz,bugün dükkan heğ böylemi olcak acaba,
2025-06-05 16:06:35,Lxrd,abi death stranding oynadın mı ,
2025-06-05 16:06:36,Tala,abi eski dükkandaki tartışılan,
2025-06-05 16:06:37,Arda Gökdemir,4 eskiyor 6 çıkacak 5 satmaya başlıcak mısın,
2025-06-05 16:06:40,♕Baran,ps5 kütüphane kardeşliği yapmak isteyen varmı?,
2025-06-05 16:06:41,Marcos,abi internet hızın kaç @Konsol Oyun ,
2025-06-05 16:06:41,Okan Türkmen ,Abi artık şu cihazları önceden ayarlasan:grinning_face_with_sweat::grinning_face_with_sweat:,
2025-06-05 16:06:41,Disdisna,Yayında oyun oynuyormusun kardeşim?,
2025-06-05 16:06:42,Yücel kandaş,figür satışı yapmaya başlıuorum siteyi burda paylaşmamda bir sıkıntı olur mu,
2025-06-05 16:06:43,Kıvanç Sami Güler,Outlast bitirdiğim en az korkunç korku oyunuydu abi neler neler var başka oyunlarda,
2025-06-05 16:06:46,Anıl Can Kemiksiz,kötü abi,
2025-06-05 16:06:47,Onur ,biraz daha düşür,
2025-06-05 16:06:48,Buğramollax,uncharted 4 satan varmı,
2025-06-05 16:06:48,Turkeryoutube,öbürü daha iyi,
2025-06-05 16:06:53,Derda ,5 tane oyun lazim kasam 1000 tl,
2025-06-05 16:06:58,Tech End,abi ps3 super slimim var 500 gb 2 kol 30 oyunlu kaça satılmalı ,
2025-06-05 16:06:59,Alper,taner abi 57 bine ps5 pro aldım nasıl,
2025-06-05 16:06:59,Can Polat,Abi ayarlardan canlılık ayarlarini arttir,
2025-06-05 16:07:01,Salih Efe Çetin,Taner abi bende Pes 2021 var küçük çizikler var kaça satmalıyım,
2025-06-05 16:07:02,Minecraft,Abi sağ analog hep kayıyor yukarı doğru nasıl düzeltebilirim yeni kol alimmi fiyatlar nasıl???,
2025-06-05 16:07:03,kimse,Abi switch 2 inceleyecek misin,
2025-06-05 16:07:04,emir Can,2k23 kaça satarsın ,
2025-06-05 16:07:05,İsmail Karadağ,:double_exclamation_mark::double_exclamation_mark:ABİ HEDİYEYİ AÇARMISIN CHAT ÇOK MERAKLI (YOĞUN İSTEK):double_exclamation_mark::double_exclamation_mark:,
2025-06-05 16:07:09,Serdar kaan,Abi cizik oyun alabilirmiyim senden koleksiyonluk,
2025-06-05 16:07:09,Ramazan Uzunkaya,ABİ OUTLASTI HİÇ DENEDİNMİKİ ÖN YARGILISIN BİRAZ ,
2025-06-05 16:07:09,Crazy Jae,Ps5 alsam fiyatları nedir,
2025-06-05 16:07:11,jeoxy,abi bir yayında batman oynar mısın?,
2025-06-05 16:07:11,Emrecan Güler,küçük adam :),
2025-06-05 16:07:12,Laith Bndkji,PS4 SLİM 500GB 7500 TL ,
2025-06-05 16:07:12,Semih,Camlara film çekmen lazım,
2025-06-05 16:07:13,Marcos,abi internet hızın kaç @Konsol Oyun ,
2025-06-05 16:07:13,YouShorts,Fifa oynamayı biliyor musun abi:face_with_tears_of_joy:,
2025-06-05 16:07:13,Ramazan ŞAHİN,PS5 NE KADAR ,
2025-06-05 16:07:15,stoptrying2begod,suanda en pahali ps4 oyunu pes 21 mi taner abi ,
2025-06-05 16:07:18,can,abı sana sapkada yakısır be bır dene bence sıcaklarda geldı,
2025-06-05 16:07:19,ibrahimcan cl,bilgisayarımı satıyorum ilan no:,
2025-06-05 16:07:23,veintra,:_esnafmodon::_mükemmel::_asya:,
2025-06-05 16:07:26,Alper,ps5 pro 57 bine nasıl,
2025-06-05 16:07:27,Snojkopo7,abi masadaki cdleri düzenle,
2025-06-05 16:07:28,YouShorts,Fifa oynamayı biliyor musun abi :face_with_tears_of_joy:,
2025-06-05 16:07:29,can,abı sana sapkada yakısır be bır dene bence sıcaklarda geldı,
2025-06-05 16:07:30,Emirhan ,Abi 2. El series ne kadar ,
